question,ground_truth,contexts
在电影《Dinosaur》中，主角恐龙的名字是什么？,Aladar,"In the aftermath, the herd are led back to the Nesting Grounds as their new home. A new generation of dinosaurs hatch sometime later, along with Aladar and Neera's children.|The one surviving egg journeys through several predicaments via the flight of a Geosternbergia, before ending up on a far away island populated by lemurs. One of the lemurs, Plio, names the hatched baby Aladar and raises him despite her father, Yar's objections."
在电影《Dinosaur》中，是谁抚养了主角恐龙？,一只名叫Plio的狐猴,"One of the lemurs, Plio, names the hatched baby Aladar and raises him despite her father, Yar's objections.|Years later, an adult Aladar and the lemurs take part in the mating ritual, where Aladar's friend, Zini, goes without a mate."
在电影《Dinosaur》中，导致主角逃离岛屿的灾难是什么？,一颗巨大的流星撞击,"Moments after the ritual ends, a giant meteor strikes and destroys the island, spreading destruction in its wake. Aladar, Plio, Zini, Yar and Suri flee and jump across the sea to the mainland."
在电影《The Pink Mirror》中，两位变装表演者Bibbo和Shabbo分别是什么职业？,Bibbo是宝莱坞时装设计师，Shabbo是舞者,"The film centers around two drag performers Bibbo, a Bollywood fashion designer, and Shabbo, a dancer, who have a strenuous and often volatile relationship with each other."
在电影《The Pink Mirror》中，谁是从西方来的年轻学徒并透露自己是跨性别者？,Mandy,"The situation is further complicated by Mandy, Shabbo's young Western apprentice, who reveals she is transgender and admits to being attracted to Samir."
在电影《The Pink Mirror》中，Bibbo发现了Shabbo的什么秘密？,Shabbo是HIV阳性,"Throughout the escapades and comedic antics that occur during the scuffle to win Samir's heart, Bibbo learns Shabbo's secret that she is HIV-positive, and is not above revealing her secret to Samir or possibly even the entire city."
在电影《48 Shades》中，男主角Dan爱上了谁？,Naomi,"Now he's doing his last year at school and trying not to spin out. Trying to be cool. Trying to pick up a few skills for surviving in the adult world. Problem is, he falls for Naomi, and things become much, much more confusing."
在电影《48 Shades》中，Dan在与姑妈同住期间学会了做什么菜？,制作香蒜酱（pesto）,"As Dan fumbles through the process of forming a relationship with someone of the opposite sex, he also learns about making pesto, interpreting the fish tank scene from the film Romeo & Juliet, why almost all birds are one of the 48 shades of brown, and why his best course of action is just to be himself."
在电影《48 Shades》中，电影中提到几乎所有的鸟类有多少种棕色调？,48种,"...why almost all birds are one of the 48 shades of brown..."
在电影《Nonexistent Movie》中，主角的名字是什么？,无相关信息,
